机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
ClearVue锴明投资,3,0.25,0.019464720194647202,0.010585971339580278,0.14161951909476664,0.125,0.125,0.875,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
博信资本,9,0.0625,0.004866180048661801,0.0015315657021230332,0.19731258840169733,0.2,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldman Sachs高盛(国外),7,0.625,0.0681265206812652,0.16041402549007766,0.27717720751667,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0
坚果资本,6,0.5,0.038929440389294405,0.00569644546008279,0.1410891089108911,0.1875,0.125,0.3125,0.4375,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0
合众思壮,2,0.125,0.0072992700729927005,0.002809141549225381,0.2517680339462518,0.0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Naya Ventures,10,0.125,0.004866180048661801,4.939855441445819E-4,0.2652050919377652,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Triangle Peak Partners,4,0.3125,0.012165450121654502,0.003918158432472086,0.33012729844413014,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
远东宏信,4,0.125,0.004866180048661801,0.00416614314338804,0.4073550212164074,0.3,0.5,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
中科招商,0,0.3125,0.0170316301703163,0.0496009742643251,0.079409981814508,0.11428571428571428,0.0,0.5714285714285714,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
蓝港互动,5,0.0625,0.004866180048661801,0.0014716345984996653,0.05091937765205092,0.3,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
开物投资,3,0.25,0.0170316301703163,0.005072063631061259,0.07031723580521318,0.4,0.7142857142857143,1.0,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
