机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
高盛集团(中国),1,0.4375,0.0267639902676399,0.03911959060843675,0.29895846727529896,0.18181818181818182,0.36363636363636365,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.12931853385997474,0.060855780639988116,0.030427890319994058,0.0,0.16735339675996733,0.5055467823000965,0.015213945159997029,0.0,0.09128367095998217,0.0,0.0
新进创投,1,0.75,0.07542579075425791,0.0018407924431215368,0.04270657480494593,0.2193548387096774,0.1935483870967742,0.7096774193548387,0.06451612903225806,0.0,0.0,0.019399144376832808,0.18338275158890965,0.11109052017128764,0.0,0.16654312102772584,0.06112758386296989,0.0,0.12225516772593978,0.030563791931484945,0.09169137579445483,0.08150344515062652,0.02037586128765663,0.08150344515062652,0.030563791931484945,0.0
SparkLabs Global Ventures,6,0.3125,0.0170316301703163,0.0018366926277128054,0.1157809658516872,0.0,0.0,0.0,0.0,0.0,0.0,0.07015482822097883,0.0,0.0,0.24773933618936547,0.0,0.11017386418075199,0.0,0.0,0.014581834965099528,0.5573501364438042,0.0,0.0,0.0,0.0,0.0
正轩投资/夏佐全,9,0.1875,0.009732360097323601,8.439239583092473E-4,0.04773691654879774,0.2,0.5,1.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
维西资本/Vcwill Capital,13,0.1875,0.0072992700729927005,5.626159722061648E-4,0.19943422913719944,0.4,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forerunner Ventures,5,0.3125,0.021897810218978103,0.004757338694211677,0.09193776520509195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252710592160134,0.0,0.027522935779816515,0.7543786488740617,0.0,0.043786488740617184,0.0,0.0,0.14178482068390325,0.0,0.0,0.0,0.0,0.0
QueensBridge Venture Partners,5,0.1875,0.0072992700729927005,0.11904337417916987,0.09052333804809053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999100080992711,0.0,0.0,2.999730024297813E-5,0.0,0.0,0.0,0.0,0.0,5.999460048595626E-5,0.0
FundersClub,5,0.25,0.009732360097323601,1.5117147977436603E-4,0.0922913719943423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779527559055118,0.0,0.5511811023622047,0.0,0.0,0.023622047244094488,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0
实益达,3,0.0625,0.0072992700729927005,0.01190870474503049,0.2135785007072136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
光大集团/光大资本,13,0.25,0.009732360097323601,0.00981452307070129,0.2842998585572843,0.3,0.5,1.0,0.0,0.0955414012739462,0.0,0.0,0.0,0.07643312101915696,0.0,0.7643312101915696,0.0,0.0,0.06369426751596408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汉理资本,13,0.375,0.0340632603406326,0.016933435806920725,0.20852697514649426,0.3,0.35714285714285715,0.5714285714285714,0.14285714285714285,0.28264248860066915,0.0,0.0,0.12301529326037101,0.0,0.10544167993746087,0.4523528714143434,0.0,0.003322515162435155,0.0,0.0,0.0,0.0,0.03322515162435155,0.0,0.0,0.0
NSI Ventures,12,0.125,0.004866180048661801,7.935510749310553E-4,0.1548797736916549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In-Q-Tel,14,0.125,0.004866180048661801,7.024389010876891E-4,0.15912305516265912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199053510160948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800946489915328,0.0
欧比特,1,0.125,0.004866180048661801,0.010127087499710967,0.4837340876944837,0.1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
海汇投资,4,0.125,0.004866180048661801,8.439239583092473E-4,0.23125884016973128,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
Nexus Venture Partners,5,0.375,0.0267639902676399,0.009054417764963341,0.16548797736916548,0.0,0.0,0.0,0.0,0.0,0.14329535495179668,0.0,0.0,0.10955302366345311,0.13584574934268187,0.3523225241016652,0.0,0.0,0.0,0.0,0.08282208588957055,0.0,0.0,0.0,0.1761612620508326,0.0
凯欣亚洲投资Crescent Group,13,0.0625,0.0072992700729927005,0.008729061824241609,0.18953323903818953,0.13333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
富德资本,3,0.125,0.009732360097323601,0.00414057224745127,0.3426449787835927,0.45,0.5,0.75,0.25,0.0,0.0,0.0,0.520868718436488,0.0,0.0,0.0,0.0,0.47913128156351203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DST/Yuri Milner(中国投资),13,0.5625,0.043795620437956206,0.27036285122901055,0.17138142385667138,0.5,0.5,0.8333333333333334,0.05555555555555555,0.024214851775755795,0.0,0.2852949809216319,0.1027296742001761,0.011006750807161726,0.0,0.5334605224537716,0.0146756677428823,0.0,0.0,0.013208100968594072,0.0,0.0,0.008805400645729381,0.006604050484297036,0.0,0.0
Social Starts,4,0.125,0.0072992700729927005,9.60196800666577E-4,0.24893917963224893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214876033057851,0.0,0.0,0.0,0.0,0.0,0.5785123966942148,0.0,0.0,0.0,0.0,0.0,0.0
新电投资SingTel Innov8,1,0.3125,0.012165450121654502,0.0023012981173000605,0.16548797736916548,0.32,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.43103448275862066,0.0,0.0,0.15517241379310345,0.12931034482758622,0.12931034482758622,0.0,0.0,0.0,0.15517241379310345,0.0,0.0,0.0
复星医药,6,0.0625,0.0072992700729927005,0.02849873163995862,0.7369165487977369,0.13333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
无锡坚果创投,1,0.375,0.014598540145985401,9.470702198803775E-4,0.06789250353606789,0.2,0.16666666666666666,0.8333333333333334,0.0,0.594059405940594,0.0,0.0297029702970297,0.0,0.0594059405940594,0.0,0.0594059405940594,0.0,0.0,0.0,0.0,0.0,0.0,0.0594059405940594,0.19801980198019803,0.0,0.0
Caixa Capital Risc,5,0.125,0.004866180048661801,4.404208465867357E-4,0.13790664780763792,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.0,0.0,0.0,0.0,0.8108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
顺荣三七,10,0.125,0.014598540145985401,0.08219089547246788,0.5714285714285714,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932528803007915,0.0,0.0,0.0,0.0,0.0,0.006747119699208521,0.0
Oculus VR,12,0.1875,0.012165450121654502,2.813079861030824E-4,0.4913719943422914,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Founders Fund,0,0.8125,0.0681265206812652,0.06700884148155944,0.16745807233784604,0.007142857142857143,0.0,0.0,0.0,0.06572578138184014,0.00532911740933839,0.015454440487081332,0.08881862348897317,0.4813081206867456,0.0,0.027755819840304116,0.06661396761672987,0.0,0.0,0.012434607288456244,0.0675021538516196,0.1648473651955342,0.001998419028501896,9.325955466342183E-4,0.0012789881782412137,0.0
21世纪天使创投,7,0.1875,0.0072992700729927005,2.910721863007204E-4,0.04950495049504951,0.13333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1932908737713949,0.0,0.1932908737713949,0.0,0.0,0.0,0.6134182524572103,0.0
News Corp,12,0.125,0.004866180048661801,0.004523241127107015,0.1760961810466761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0
Rembrandt Venture Partners,7,0.1875,0.0072992700729927005,0.001003842109787785,0.10325318246110325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2490118577075099,0.0,0.0,0.0,0.3557312252964427,0.0,0.0,0.0,0.0,0.0,0.0,0.3952569169960474,0.0
Dragoneer Investment Group,12,0.1875,0.009732360097323601,0.018305522832072988,0.1845827439886846,0.0,0.0,0.0,0.0,0.0,0.7721783557825159,0.0,0.0,0.09289363678586653,0.0,0.13492800743147118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Peaks Venture Partners,12,0.1875,0.0072992700729927005,5.161647096929073E-4,0.3026874115983027,0.0,0.0,0.0,0.0,0.0,0.2536708242636824,0.0,0.0,0.0,0.0,0.0,0.0,0.6918295207191338,0.0,0.0,0.05449965501718374,0.0,0.0,0.0,0.0,0.0
SpeedInvest,8,0.125,0.004866180048661801,2.2616205635535075E-4,0.14214992927864215,0.0,0.0,0.0,0.0,0.7368421052631579,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
乾明投资,3,0.25,0.009732360097323601,2.2504638888246593E-4,0.12942008486562942,0.2,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
方广资本,1,0.25,0.012165450121654502,0.004770296115128899,0.3114568599717115,0.16,0.2,1.0,0.0,0.0,0.0,0.0,0.3368639782421485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24952887277196184,0.03931383982794691,0.3742933091579428,0.0
三胞集团/宏图高科,13,0.25,0.014598540145985401,0.053198000407948136,0.8309759547383311,0.16666666666666669,0.0,0.6666666666666666,0.0,0.0,0.0,0.16216358085529903,0.0,0.0,0.0010575885707954284,0.6801510208276734,0.0,0.0,0.0,0.0,0.15662780974623214,0.0,0.0,0.0,0.0,0.0
菜鸟网络-阿里巴巴,13,0.0625,0.004866180048661801,0.007501546296082197,0.23762376237623764,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greylock Partners,0,0.75,0.1070559610705596,0.05397990229590988,0.18342548540568343,0.0,0.0,0.0,0.0,0.11568406483230939,0.0,0.05880344655541798,0.005512823114570436,0.4651877653306374,0.05806840347347526,0.022051292458281743,0.0,0.016538469343711306,0.0,0.08462183480865619,0.03947181350032432,0.0,0.014303192457180017,0.0011576928540597915,0.11859920127145863,0.0
景林投资,1,0.75,0.11192214111922141,0.03071394641912329,0.10912613000430478,0.2217391304347826,0.2391304347826087,0.9130434782608695,0.06521739130434782,0.303000266248084,0.0,0.0018317931682522756,0.018317931682522756,0.0054953795047568265,0.03405973630781699,0.27991943826564514,0.0,0.02548360125786428,4.579482920630689E-4,0.0720505312845895,0.12917414639972485,0.0030529886137537925,0.12715623897492645,0.0,0.0,0.0
QuestMark Partners,14,0.1875,0.012165450121654502,0.007308605400115019,0.40565770862800565,0.0,0.0,0.0,0.0,0.08794788273615635,0.0,0.0,0.0,0.5971769815418024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31487513572204123,0.0
智度投资(思达高科),3,0.125,0.009732360097323601,0.05666197725107728,0.2057991513437058,0.3,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568155710038416,0.0,0.0,0.0,0.0,0.0,0.3431844289961584,0.0,0.0
厚朴基金,9,0.1875,0.0072992700729927005,0.03516811171385739,0.4809052333804809,0.8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7446287047139415,0.0,0.0,0.0,0.13538703722071666,0.0,0.0,0.0,0.11998425806534183,0.0,0.0,0.0,0.0,0.0,0.0
微玺投资,4,0.1875,0.014598540145985401,6.563853009071923E-4,0.05233380480905234,0.16666666666666669,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.17142857142857143,0.0,0.0,0.7428571428571429,0.0,0.0,0.0,0.0,0.0,0.0
InVenture Partners,6,0.25,0.009732360097323601,0.0014779888770590905,0.12623762376237624,0.0,0.0,0.0,0.0,0.1342281879194631,0.14093959731543623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08053691275167785,0.6442953020134228,0.0,0.0,0.0,0.0,0.0
WestSummit Capital,14,0.125,0.009732360097323601,0.005660003041945752,0.22171145685997173,0.1,0.0,0.5,0.0,0.0,0.0,0.4206098843322818,0.0,0.5793901156677181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
携程,1,0.375,0.058394160583941604,0.1616208408642516,0.3263790664780764,0.325,0.5416666666666666,0.7083333333333334,0.16666666666666666,0.0,0.626343568517377,0.0,0.2430427783882148,3.481085540686653E-4,0.0,0.0,3.481085540686653E-4,0.011047399017646129,0.0,0.0,0.0,0.11887003696864089,0.0,0.0,0.0,0.0
Greycroft Partners,0,0.5625,0.08029197080291971,0.022911803410946893,0.18516137328018514,0.01818181818181818,0.09090909090909091,0.09090909090909091,0.0,0.13074725084422895,0.0,0.0,0.0,0.023162178543596847,0.1497965191791497,0.31054636765087884,0.0,0.016624816001385403,0.10823447917568621,0.07256039483938004,0.0,0.0,0.083124080006927,0.10520391375876699,0.0,0.0
英诺天使基金,1,0.8125,0.13138686131386862,0.0034508838317626207,0.044790193305044794,0.2,0.2037037037037037,0.9259259259259259,0.018518518518518517,0.04890154043022485,0.0516278533899392,0.06113824743545431,0.0,0.2219840094951774,0.25134612834575665,0.09970751462426879,0.012227649487090863,0.0,0.038041576182060464,0.07336589692254518,0.028259456592387773,0.0,0.06883713785325245,0.032607065298908965,0.011955923942933287,0.0
